기간	자치구	합계	합계	살인	살인	강도	강도	강간강제추행	강간강제추행	절도	절도	폭력	폭력
기간	자치구	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거
2017	합계	107835	79865	142	140	169	170	6963	6558	41162	21421	59399	51576
2017	종로구	4057	4437	7	9	10	15	253	1412	1644	905	2143	2096
2017	중구	4184	2851	1	0	9	9	267	149	1846	889	2061	1804
2017	용산구	4060	2936	1	1	5	4	327	289	1346	626	2381	2016
2017	성동구	2767	2031	1	1	3	3	132	106	1072	543	1559	1378
2017	광진구	4646	3289	6	5	13	8	261	208	2220	1168	2146	1900
2017	동대문구	3975	3274	11	10	3	5	165	149	1547	1017	2249	2093
2017	중랑구	4571	3392	5	5	3	4	172	144	1533	813	2858	2426
2017	성북구	3434	2479	7	7	8	8	173	134	1344	703	1902	1627
2017	강북구	3393	2824	8	8	7	5	208	153	1014	635	2156	2023
2017	도봉구	1999	1652	1	1	3	3	104	115	633	417	1258	1116
2017	노원구	4209	3047	4	4	9	7	180	155	1538	757	2478	2124
2017	은평구	3883	3207	6	6	4	4	230	213	1387	934	2256	2050
2017	서대문구	3113	2299	4	4	1	2	202	181	1230	719	1676	1393
2017	마포구	5278	3499	3	3	8	8	500	429	2094	837	2673	2222
2017	양천구	3882	2660	3	2	3	2	138	122	1590	756	2148	1778
2017	강서구	5135	3927	11	11	4	6	316	253	1888	1113	2916	2544
2017	구로구	4895	3408	7	8	8	6	328	181	1725	869	2827	2344
2017	금천구	3265	2572	5	5	5	5	240	212	1141	674	1874	1676
2017	영등포구	5969	4012	15	13	5	5	455	267	2304	1108	3190	2619
2017	동작구	3330	2242	1	1	7	9	396	173	1226	593	1700	1466
2017	관악구	5525	4154	8	7	7	6	379	323	1979	1152	3152	2666
2017	서초구	4708	3237	9	10	13	7	470	283	1812	835	2404	2102
2017	강남구	7720	5321	7	7	20	24	607	496	3130	1383	3956	3411
2017	송파구	5576	3870	6	6	1	3	288	242	2274	1026	3007	2593
2017	강동구	4261	3245	5	6	10	12	172	169	1645	949	2429	2109
