시군구,살인,강도,강간강제추행,절도,폭력,seoul_total,id
종로구,7,10,253,1644,2143,4057,11110
중구,1,9,267,1846,2061,4184,11140
용산구,1,5,327,1346,2381,4060,11170
성동구,1,3,132,1072,1559,2767,11200
광진구,6,13,261,2220,2146,4646,11215
동대문구,11,3,165,1547,2249,3975,11230
중랑구,5,3,172,1533,2858,4571,11260
성북구,7,8,173,1344,1902,3434,11290
강북구,8,7,208,1014,2156,3393,11305
도봉구,1,3,104,633,1258,1999,11320
노원구,4,9,180,1538,2478,4209,11350
은평구,6,4,230,1387,2256,3883,11380
서대문구,4,1,202,1230,1676,3113,11410
마포구,3,8,500,2094,2673,5278,11440
양천구,3,3,138,1590,2148,3882,11470
강서구,11,4,316,1888,2916,5135,11500
구로구,7,8,328,1725,2827,4895,11530
금천구,5,5,240,1141,1874,3265,11545
영등포구,15,5,455,2304,3190,5969,11560
동작구,1,7,396,1226,1700,3330,11590
관악구,8,7,379,1979,3152,5525,11620
서초구,9,13,470,1812,2404,4708,11650
강남구,7,20,607,3130,3956,7720,11680
송파구,6,1,288,2274,3007,5576,11710
강동구,5,10,172,1645,2429,4261,11740
