범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,50,21,16,11,3,8,5,1,4,0,1,1,0,0,1,1,0,2,4,2,2,4,1,2,0,2,0,7,0,2,2,3,1,0,1,5,1,2,2,1,1,3,0,4,6,3,0,0,0,2,1,0,3,7,4,0,0,1,3,0,0,0,2,1,1,0,3,6,2,0,2,1,1,1,2,3,3,0,2,2,1,9,1,0,4,1,46
강력범죄,살인미수등,91,41,30,24,6,14,12,5,5,0,0,5,4,2,2,8,0,1,15,12,4,16,1,2,1,0,6,3,0,4,6,3,7,2,1,10,2,1,0,3,4,3,1,2,9,3,0,0,3,1,1,1,4,9,2,2,1,5,4,0,0,2,6,4,3,0,2,3,2,1,1,1,0,1,0,4,5,0,2,3,8,6,2,2,12,0,50
강력범죄,강도,167,102,37,73,33,41,25,3,14,1,1,4,4,4,3,7,4,13,14,25,8,17,3,13,3,0,5,12,3,15,2,6,9,5,1,6,6,3,0,1,7,5,0,4,11,5,0,1,3,2,1,0,8,15,5,1,0,7,11,0,2,1,5,4,5,4,11,8,3,0,1,1,1,1,17,4,8,2,1,7,4,21,4,2,33,3,35
강력범죄,강간,1155,334,201,352,203,176,97,17,77,4,22,19,24,27,18,36,8,87,93,128,55,108,29,61,11,8,21,32,5,50,18,36,56,23,5,39,26,9,6,14,34,25,10,14,110,27,0,10,9,13,18,20,25,78,17,6,12,28,70,14,21,6,32,37,33,19,16,53,12,5,9,20,5,7,54,27,38,6,10,29,28,84,7,17,79,6,333
강력범죄,유사강간,144,43,26,44,23,33,2,0,5,0,2,5,2,5,3,5,1,4,10,14,12,19,3,2,1,0,1,4,2,7,1,2,7,0,3,3,2,1,1,0,4,4,1,2,16,1,0,0,2,4,0,2,3,5,6,0,2,3,12,1,2,4,9,0,3,4,2,3,2,1,1,2,0,0,10,3,3,0,0,3,1,11,0,3,3,2,54
강력범죄,강제추행,5582,1282,610,1282,490,481,302,53,258,24,83,68,98,75,99,161,30,342,298,454,150,288,43,231,42,45,91,226,27,161,70,117,163,48,33,147,62,30,20,25,90,74,7,28,266,66,5,38,33,38,46,46,71,179,61,19,8,48,177,22,25,24,72,78,69,64,60,101,26,12,18,40,11,16,125,78,126,17,28,74,91,250,31,65,206,18,809
강력범죄,기타강간강제추행등,60,23,8,13,10,9,9,2,1,0,2,4,0,0,1,1,1,3,11,7,3,6,4,2,1,3,4,3,0,3,3,3,3,0,0,2,2,0,0,0,4,2,0,1,3,4,0,0,2,1,0,0,0,6,1,0,0,0,1,0,3,1,2,1,3,1,2,3,1,0,0,0,1,1,3,2,4,0,2,0,2,4,2,0,3,0,31
강력범죄,방화,225,90,71,81,35,37,33,3,27,0,5,10,4,6,2,19,3,26,16,30,9,24,5,10,3,3,3,16,1,23,2,11,18,5,2,16,11,3,1,2,13,10,2,9,25,5,2,2,7,15,2,6,12,26,11,2,3,12,11,6,0,4,18,11,10,4,9,16,7,4,3,3,1,7,6,3,15,3,3,10,20,14,1,3,12,0,113
절도범죄,절도,41144,15807,8310,9216,4821,6216,3578,582,2488,202,1053,849,800,763,916,1359,350,4075,3131,5494,1293,2904,618,1809,509,408,830,2317,207,1603,622,1028,2069,505,507,2087,674,206,226,308,1407,1067,111,479,3205,781,42,533,448,555,315,664,1424,2854,1038,164,260,916,1953,278,356,272,960,810,841,1053,981,1566,366,154,268,480,206,331,2016,979,2264,286,235,824,1641,3561,480,864,2359,19,9207
폭력범죄,상해,6016,4220,2781,2074,1171,1165,1409,152,540,27,156,175,151,114,185,322,96,540,622,842,263,453,140,401,120,127,182,379,41,251,209,272,536,183,92,471,429,197,92,158,440,341,88,115,794,200,23,148,145,180,137,208,356,617,287,61,88,164,564,111,174,77,312,377,288,222,279,358,177,94,102,205,133,115,572,472,608,146,138,325,358,1151,302,402,582,31,3790
폭력범죄,폭행,36312,10174,6885,11586,4856,5256,3863,285,2917,150,1165,1160,898,778,627,1698,375,2808,2959,4474,1596,2946,656,2178,746,362,796,2113,304,2133,826,976,2111,591,411,1662,821,272,238,375,1651,764,120,319,2544,362,25,133,282,297,141,381,889,2054,851,251,224,909,1649,262,337,198,1086,835,1114,897,472,821,282,171,132,457,172,232,1283,650,1585,140,304,602,796,2732,326,531,1977,19,6043
폭력범죄,체포감금,258,68,65,210,38,43,22,6,25,1,5,11,4,5,6,18,3,16,27,27,13,29,5,6,8,7,1,15,2,14,14,13,19,5,2,11,7,4,1,6,12,3,2,2,36,5,0,3,1,3,4,3,9,30,9,2,4,10,19,2,8,2,13,6,4,3,4,9,2,1,3,6,1,3,13,7,12,2,5,7,1,13,2,3,16,1,93
폭력범죄,협박,2923,1010,688,928,362,503,420,52,303,19,81,104,61,51,80,183,39,276,348,528,213,370,47,182,65,48,73,220,39,159,64,105,232,65,41,200,73,30,19,32,136,68,5,42,263,47,4,28,47,54,22,50,100,206,91,29,23,68,160,33,38,24,80,94,104,82,48,129,46,19,30,51,22,18,122,63,127,27,54,67,88,207,49,82,243,21,852
폭력범죄,약취유인,49,18,8,15,3,6,8,0,4,0,1,3,1,0,1,3,0,4,2,10,2,4,0,6,1,1,0,4,1,3,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,2,1,0,0,0,2,2,0,0,1,2,0,1,0,0,6,0,1,0,0,0,0,0,1,4,1,0,0,2,2,0,0,1,1,8
폭력범죄,폭력행위등,2119,940,441,773,373,278,264,35,188,9,59,59,55,48,32,110,31,230,207,335,131,228,21,136,32,27,65,107,15,60,65,73,178,35,37,146,63,43,19,32,80,53,13,16,141,31,2,14,21,30,17,33,116,165,102,8,25,63,175,34,33,15,59,98,59,34,54,86,27,9,18,26,18,19,135,59,123,13,17,76,75,193,42,57,133,6,533
