시도,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
서울특별시,50,91,167,1155,144,5582,60,225,41144,6016,36312,258,2923,49,2119,739,10985,116,137,54,1146,2598,98,49935,15282,928,4102,1216,15101,1746,3606,52,67430,587,23,141,3735,42994
부산광역시,21,41,102,334,43,1282,23,90,15807,4220,10174,68,1010,18,940,360,3707,32,32,25,76,829,5,19036,3376,315,1048,1992,4459,971,1519,1196,28061,228,3,39,593,16779
대구광역시,16,30,37,201,26,610,8,71,8310,2781,6885,65,688,8,441,177,2645,10,14,10,40,446,10,10495,2053,128,581,508,2103,258,321,14,25380,371,3,23,568,8689
인천광역시,11,24,73,352,44,1282,13,81,9216,2074,11586,210,928,15,773,368,3456,12,25,13,152,579,18,12302,2879,167,1060,302,3118,586,644,79,24507,55,3,54,1183,17000
광주광역시,3,6,33,203,23,490,10,35,4821,1171,4856,38,362,3,373,90,1474,24,11,6,27,336,5,6450,1477,65,360,210,1265,31,279,7,18734,12,5,18,268,4624
대전광역시,8,14,41,176,33,481,9,37,6216,1165,5256,43,503,6,278,96,1463,10,2,5,97,346,4,6616,1287,67,451,203,1207,97,188,12,14695,143,1,10,447,5191
울산광역시,5,12,25,97,2,302,9,33,3578,1409,3863,22,420,8,264,76,1297,15,11,4,24,225,2,5198,863,84,170,214,1042,73,152,34,11264,104,3,21,212,5394
세종특별자치시,1,5,3,17,0,53,2,3,582,152,285,6,52,0,35,16,170,12,6,0,9,50,0,785,252,17,60,15,230,19,10,1,1322,4,2,1,111,578
경기도,48,120,202,1100,123,3872,71,229,40796,7890,40416,312,4196,55,2719,1021,14184,81,94,65,733,2447,48,52219,12777,828,3563,1381,12359,1430,2575,1340,132528,758,26,131,4318,61997
강원도,10,14,22,124,13,308,8,42,3999,1745,4241,35,363,1,303,67,1685,22,10,2,78,253,3,4405,703,65,186,138,907,140,276,104,14983,41,2,13,221,6636
충청북도,13,14,20,151,19,360,8,39,4465,1109,3225,43,352,3,188,84,1503,5,4,6,62,267,2,5033,818,66,205,153,926,194,135,20,14314,16,1,8,257,4302
충청남도,13,19,30,173,16,456,9,72,6835,1814,4202,53,511,5,398,109,2047,16,18,3,84,354,2,7571,1372,129,269,241,1236,242,303,101,15959,37,0,11,553,8072
전라북도,8,14,24,147,24,335,2,45,4609,1275,4146,46,404,4,407,105,1253,13,11,16,30,343,1,7101,867,95,191,212,902,58,266,99,13199,17,3,15,314,6698
전라남도,4,15,17,129,18,268,10,43,3239,1228,3570,33,340,4,264,81,1189,12,4,10,13,207,3,4320,600,64,146,143,824,64,194,474,13498,37,3,10,243,5249
경상북도,18,1,47,200,25,473,12,60,7421,2257,4919,45,567,7,426,174,2318,17,24,5,40,381,2,9462,1315,142,353,531,1614,248,334,279,24461,69,1,23,529,7644
경상남도,21,30,51,229,21,695,16,69,10270,3500,7135,49,682,10,598,244,2741,27,27,23,24,777,6,13636,2027,205,472,505,2431,653,817,327,29300,170,7,51,871,13401
제주특별자치도,5,12,36,85,5,224,3,12,2378,613,1996,17,264,2,139,78,868,4,5,7,21,1015,2,4055,607,43,191,153,1309,58,102,34,10175,21,5,6,143,3964
